Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;EmployeeCount;EmployeeNumber;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NumCompaniesWorked;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;HourIncome
35;No;Travel_Rarely;809;Research & Development;16;3;Medical;1;14;1;Male;84;4;1;Laboratory Technician;2;Married; R$ 2.426,00 ;16479;0;Y;No;13;3;3;80;1;6;5;3;5;4;0;3; R$ 13,78 
29;No;Travel_Rarely;153;Research & Development;15;2;Life Sciences;1;15;4;Female;49;2;2;Laboratory Technician;3;Single; R$ 4.193,00 ;12682;0;Y;Yes;12;3;4;80;0;10;3;3;9;5;0;8; R$ 23,82 
31;No;Travel_Rarely;670;Research & Development;26;1;Life Sciences;1;16;1;Male;31;3;1;Research Scientist;3;Divorced; R$ 2.911,00 ;15170;1;Y;No;17;3;4;80;1;5;1;2;5;2;4;3; R$ 16,54 
34;No;Travel_Rarely;1346;Research & Development;19;2;Medical;1;18;2;Male;93;3;1;Laboratory Technician;4;Divorced; R$ 2.661,00 ;8758;0;Y;No;11;3;3;80;1;3;2;3;2;2;1;2; R$ 15,12 
28;Yes;Travel_Rarely;103;Research & Development;24;3;Life Sciences;1;19;3;Male;50;2;1;Laboratory Technician;3;Single; R$ 2.028,00 ;12947;5;Y;Yes;14;3;2;80;0;6;4;3;4;2;0;3; R$ 11,52 
29;No;Travel_Rarely;1389;Research & Development;21;4;Life Sciences;1;20;2;Female;51;4;3;Manufacturing Director;1;Divorced; R$ 9.980,00 ;10195;1;Y;No;11;3;3;80;1;10;1;3;10;9;8;8; R$ 56,70 
32;No;Travel_Rarely;334;Research & Development;5;2;Life Sciences;1;21;1;Male;80;4;1;Research Scientist;2;Divorced; R$ 3.298,00 ;15053;0;Y;Yes;12;3;4;80;2;7;5;2;6;2;0;5; R$ 18,74 
22;No;Non-Travel;1123;Research & Development;16;2;Medical;1;22;4;Male;96;4;1;Laboratory Technician;4;Divorced; R$ 2.935,00 ;7324;1;Y;Yes;13;3;2;80;2;1;2;2;1;0;0;0; R$ 16,68 
53;No;Travel_Rarely;1219;Sales;2;4;Life Sciences;1;23;1;Female;78;2;4;Manager;4;Married; R$ 15.427,00 ;22021;2;Y;No;16;3;3;80;0;31;3;3;25;8;3;7; R$ 87,65 
38;No;Travel_Rarely;371;Research & Development;2;3;Life Sciences;1;24;4;Male;45;3;1;Research Scientist;4;Single; R$ 3.944,00 ;4306;5;Y;Yes;11;3;3;80;0;6;3;3;3;2;1;2; R$ 22,41 
24;No;Non-Travel;673;Research & Development;11;2;Other;1;26;1;Female;96;4;2;Manufacturing Director;3;Divorced; R$ 4.011,00 ;8232;0;Y;No;18;3;4;80;1;5;5;2;4;2;1;3; R$ 22,79 
36;Yes;Travel_Rarely;1218;Sales;9;4;Life Sciences;1;27;3;Male;82;2;1;Sales Representative;1;Single; R$ 3.407,00 ;6986;7;Y;No;23;4;2;80;0;10;4;3;5;3;0;3; R$ 19,36 
34;No;Travel_Rarely;419;Research & Development;7;4;Life Sciences;1;28;1;Female;53;3;3;Research Director;2;Single; R$ 11.994,00 ;21293;0;Y;No;11;3;3;80;0;13;4;3;12;6;2;11; R$ 68,15 
21;No;Travel_Rarely;391;Research & Development;15;2;Life Sciences;1;30;3;Male;96;3;1;Research Scientist;4;Single; R$ 1.232,00 ;19281;1;Y;No;14;3;4;80;0;0;6;3;0;0;0;0; R$ 7,00 
34;Yes;Travel_Rarely;699;Research & Development;6;1;Medical;1;31;2;Male;83;3;1;Research Scientist;1;Single; R$ 2.960,00 ;17102;2;Y;No;11;3;3;80;0;8;2;3;4;2;1;3; R$ 16,82 
53;No;Travel_Rarely;1282;Research & Development;5;3;Other;1;32;3;Female;58;3;5;Manager;3;Divorced; R$ 19.094,00 ;10735;4;Y;No;11;3;4;80;1;26;3;2;14;13;4;8; R$ 108,49 
32;Yes;Travel_Frequently;1125;Research & Development;16;1;Life Sciences;1;33;2;Female;72;1;1;Research Scientist;1;Single; R$ 3.919,00 ;4681;1;Y;Yes;22;4;2;80;0;10;5;3;10;2;6;7; R$ 22,27 
42;No;Travel_Rarely;691;Sales;8;4;Marketing;1;35;3;Male;48;3;2;Sales Executive;2;Married; R$ 6.825,00 ;21173;0;Y;No;11;3;4;80;1;10;2;3;9;7;4;2; R$ 38,78 
44;No;Travel_Rarely;477;Research & Development;7;4;Medical;1;36;1;Female;42;2;3;Healthcare Representative;4;Married; R$ 10.248,00 ;2094;3;Y;No;14;3;4;80;1;24;4;3;22;6;5;17; R$ 58,23 
46;No;Travel_Rarely;705;Sales;2;4;Marketing;1;38;2;Female;83;3;5;Manager;1;Single; R$ 18.947,00 ;22822;3;Y;No;12;3;4;80;0;22;2;2;2;2;2;1; R$ 107,65 
33;No;Travel_Rarely;924;Research & Development;2;3;Medical;1;39;3;Male;78;3;1;Laboratory Technician;4;Single; R$ 2.496,00 ;6670;4;Y;No;11;3;4;80;0;7;3;3;1;1;0;0; R$ 14,18 
44;No;Travel_Rarely;1459;Research & Development;10;4;Other;1;40;4;Male;41;3;2;Healthcare Representative;4;Married; R$ 6.465,00 ;19121;2;Y;Yes;13;3;4;80;0;9;5;4;4;2;1;3; R$ 36,73 
30;No;Travel_Rarely;125;Research & Development;9;2;Medical;1;41;4;Male;83;2;1;Laboratory Technician;3;Single; R$ 2.206,00 ;16117;1;Y;No;13;3;1;80;0;10;5;3;10;0;1;8; R$ 12,53 
39;Yes;Travel_Rarely;895;Sales;5;3;Technical Degree;1;42;4;Male;56;3;2;Sales Representative;4;Married; R$ 2.086,00 ;3335;3;Y;No;14;3;3;80;1;19;6;4;1;0;0;0; R$ 11,85 
24;Yes;Travel_Rarely;813;Research & Development;1;3;Medical;1;45;2;Male;61;3;1;Research Scientist;4;Married; R$ 2.293,00 ;3020;2;Y;Yes;16;3;1;80;1;6;2;2;2;0;2;0; R$ 13,03 
43;No;Travel_Rarely;1273;Research & Development;2;2;Medical;1;46;4;Female;72;4;1;Research Scientist;3;Divorced; R$ 2.645,00 ;21923;1;Y;No;12;3;4;80;2;6;3;2;5;3;1;4; R$ 15,03 
50;Yes;Travel_Rarely;869;Sales;3;2;Marketing;1;47;1;Male;86;2;1;Sales Representative;3;Married; R$ 2.683,00 ;3810;1;Y;Yes;14;3;3;80;0;3;2;3;3;2;0;2; R$ 15,24 
35;No;Travel_Rarely;890;Sales;2;3;Marketing;1;49;4;Female;97;3;1;Sales Representative;4;Married; R$ 2.014,00 ;9687;1;Y;No;13;3;1;80;0;2;3;3;2;2;2;2; R$ 11,44 
36;No;Travel_Rarely;852;Research & Development;5;4;Life Sciences;1;51;2;Female;82;2;1;Research Scientist;1;Married; R$ 3.419,00 ;13072;9;Y;Yes;14;3;4;80;1;6;3;4;1;1;0;0; R$ 19,43 
33;No;Travel_Frequently;1141;Sales;1;3;Life Sciences;1;52;3;Female;42;4;2;Sales Executive;1;Married; R$ 5.376,00 ;3193;2;Y;No;19;3;1;80;2;10;3;3;5;3;1;3; R$ 30,55 
35;No;Travel_Rarely;464;Research & Development;4;2;Other;1;53;3;Male;75;3;1;Laboratory Technician;4;Divorced; R$ 1.951,00 ;10910;1;Y;No;12;3;3;80;1;1;3;3;1;0;0;0; R$ 11,09 
27;No;Travel_Rarely;1240;Research & Development;2;4;Life Sciences;1;54;4;Female;33;3;1;Laboratory Technician;1;Divorced; R$ 2.341,00 ;19715;1;Y;No;13;3;4;80;1;1;6;3;1;0;0;0; R$ 13,30 
26;Yes;Travel_Rarely;1357;Research & Development;25;3;Life Sciences;1;55;1;Male;48;1;1;Laboratory Technician;3;Single; R$ 2.293,00 ;10558;1;Y;No;12;3;3;80;0;1;2;2;1;0;0;1; R$ 13,03 
27;No;Travel_Frequently;994;Sales;8;3;Life Sciences;1;56;4;Male;37;3;3;Sales Executive;3;Single; R$ 8.726,00 ;2975;1;Y;No;15;3;4;80;0;9;0;3;9;8;1;7; R$ 49,58 
30;No;Travel_Frequently;721;Research & Development;1;2;Medical;1;57;3;Female;58;3;2;Laboratory Technician;4;Single; R$ 4.011,00 ;10781;1;Y;No;23;4;4;80;0;12;2;3;12;8;3;7; R$ 22,79 
41;Yes;Travel_Rarely;1360;Research & Development;12;3;Technical Degree;1;58;2;Female;49;3;5;Research Director;3;Married; R$ 19.545,00 ;16280;1;Y;No;12;3;4;80;0;23;0;3;22;15;15;8; R$ 111,05 
34;No;Non-Travel;1065;Sales;23;4;Marketing;1;60;2;Male;72;3;2;Sales Executive;3;Single; R$ 4.568,00 ;10034;0;Y;No;20;4;3;80;0;10;2;3;9;5;8;7; R$ 25,95 
37;No;Travel_Rarely;408;Research & Development;19;2;Life Sciences;1;61;2;Male;73;3;1;Research Scientist;2;Married; R$ 3.022,00 ;10227;4;Y;No;21;4;1;80;0;8;1;3;1;0;0;0; R$ 17,17 
46;No;Travel_Frequently;1211;Sales;5;4;Marketing;1;62;1;Male;98;3;2;Sales Executive;4;Single; R$ 5.772,00 ;20445;4;Y;Yes;21;4;3;80;0;14;4;3;9;6;0;8; R$ 32,80 
35;No;Travel_Rarely;1229;Research & Development;8;1;Life Sciences;1;63;4;Male;36;4;1;Laboratory Technician;4;Married; R$ 2.269,00 ;4892;1;Y;No;19;3;4;80;0;1;2;3;1;0;0;1; R$ 12,89 
48;Yes;Travel_Rarely;626;Research & Development;1;2;Life Sciences;1;64;1;Male;98;2;3;Laboratory Technician;3;Single; R$ 5.381,00 ;19294;9;Y;Yes;13;3;4;80;0;23;2;3;1;0;0;0; R$ 30,57 
28;Yes;Travel_Rarely;1434;Research & Development;5;4;Technical Degree;1;65;3;Male;50;3;1;Laboratory Technician;3;Single; R$ 3.441,00 ;11179;1;Y;Yes;13;3;3;80;0;2;3;2;2;2;2;2; R$ 19,55 
44;No;Travel_Rarely;1488;Sales;1;5;Marketing;1;68;2;Female;75;3;2;Sales Executive;1;Divorced; R$ 5.454,00 ;4009;5;Y;Yes;21;4;3;80;1;9;2;2;4;3;1;3; R$ 30,99 
35;No;Non-Travel;1097;Research & Development;11;2;Medical;1;70;3;Male;79;2;3;Healthcare Representative;1;Married; R$ 9.884,00 ;8302;2;Y;Yes;13;3;3;80;1;10;3;3;4;0;2;3; R$ 56,16 
26;No;Travel_Rarely;1443;Sales;23;3;Marketing;1;72;3;Female;47;2;2;Sales Executive;4;Married; R$ 4.157,00 ;21436;7;Y;Yes;19;3;3;80;1;5;2;2;2;2;0;0; R$ 23,62 
33;No;Travel_Frequently;515;Research & Development;1;2;Life Sciences;1;73;1;Female;98;3;3;Research Director;4;Single; R$ 13.458,00 ;15146;1;Y;Yes;12;3;3;80;0;15;1;3;15;14;8;12; R$ 76,47 
35;No;Travel_Frequently;853;Sales;18;5;Life Sciences;1;74;2;Male;71;3;3;Sales Executive;1;Married; R$ 9.069,00 ;11031;1;Y;No;22;4;4;80;1;9;3;2;9;8;1;8; R$ 51,53 
35;No;Travel_Rarely;1142;Research & Development;23;4;Medical;1;75;3;Female;30;3;1;Laboratory Technician;1;Married; R$ 4.014,00 ;16002;3;Y;Yes;15;3;3;80;1;4;3;3;2;2;2;2; R$ 22,81 
31;No;Travel_Rarely;655;Research & Development;7;4;Life Sciences;1;76;4;Male;48;3;2;Laboratory Technician;4;Divorced; R$ 5.915,00 ;9528;3;Y;No;22;4;4;80;1;10;3;2;7;7;1;7; R$ 33,61 
37;No;Travel_Rarely;1115;Research & Development;1;4;Life Sciences;1;77;1;Male;51;2;2;Manufacturing Director;3;Divorced; R$ 5.993,00 ;2689;1;Y;No;18;3;3;80;1;7;2;4;7;5;0;7; R$ 34,05 
32;No;Travel_Rarely;427;Research & Development;1;3;Medical;1;78;1;Male;33;3;2;Manufacturing Director;4;Married; R$ 6.162,00 ;10877;1;Y;Yes;22;4;2;80;1;9;3;3;9;8;7;8; R$ 35,01 
38;No;Travel_Frequently;653;Research & Development;29;5;Life Sciences;1;79;4;Female;50;3;2;Laboratory Technician;4;Single; R$ 2.406,00 ;5456;1;Y;No;11;3;4;80;0;10;2;3;10;3;9;9; R$ 13,67 
50;No;Travel_Rarely;989;Research & Development;7;2;Medical;1;80;2;Female;43;2;5;Research Director;3;Divorced; R$ 18.740,00 ;16701;5;Y;Yes;12;3;4;80;1;29;2;2;27;3;13;8; R$ 106,48 
59;No;Travel_Rarely;1435;Sales;25;3;Life Sciences;1;81;1;Female;99;3;3;Sales Executive;1;Single; R$ 7.637,00 ;2354;7;Y;No;11;3;4;80;0;28;3;2;21;16;7;9; R$ 43,39 
36;No;Travel_Rarely;1223;Research & Development;8;3;Technical Degree;1;83;3;Female;59;3;3;Healthcare Representative;3;Divorced; R$ 10.096,00 ;8202;1;Y;No;13;3;2;80;3;17;2;3;17;14;12;8; R$ 57,36 
55;No;Travel_Rarely;836;Research & Development;8;3;Medical;1;84;4;Female;33;3;4;Manager;3;Divorced; R$ 14.756,00 ;19730;2;Y;Yes;14;3;3;80;3;21;2;3;5;0;0;2; R$ 83,84 
36;No;Travel_Frequently;1195;Research & Development;11;3;Life Sciences;1;85;2;Male;95;2;2;Manufacturing Director;2;Single; R$ 6.499,00 ;22656;1;Y;No;13;3;3;80;0;6;3;3;6;5;0;3; R$ 36,93 
45;No;Travel_Rarely;1339;Research & Development;7;3;Life Sciences;1;86;2;Male;59;3;3;Research Scientist;1;Divorced; R$ 9.724,00 ;18787;2;Y;No;17;3;3;80;1;25;2;3;1;0;0;0; R$ 55,25 
35;No;Travel_Frequently;664;Research & Development;1;3;Medical;1;88;2;Male;79;3;1;Research Scientist;1;Married; R$ 2.194,00 ;5868;4;Y;No;13;3;4;80;1;5;2;2;3;2;1;2; R$ 12,47 
36;Yes;Travel_Rarely;318;Research & Development;9;3;Medical;1;90;4;Male;79;2;1;Research Scientist;3;Married; R$ 3.388,00 ;21777;0;Y;Yes;17;3;1;80;1;2;0;2;1;0;0;0; R$ 19,25 
59;No;Travel_Frequently;1225;Sales;1;1;Life Sciences;1;91;1;Female;57;2;2;Sales Executive;3;Single; R$ 5.473,00 ;24668;7;Y;No;11;3;4;80;0;20;2;2;4;3;1;3; R$ 31,10 
29;No;Travel_Rarely;1328;Research & Development;2;3;Life Sciences;1;94;3;Male;76;3;1;Research Scientist;2;Married; R$ 2.703,00 ;4956;0;Y;No;23;4;4;80;1;6;3;3;5;4;0;4; R$ 15,36 
31;No;Travel_Rarely;1082;Research & Development;1;4;Medical;1;95;3;Male;87;3;1;Research Scientist;2;Single; R$ 2.501,00 ;18775;1;Y;No;17;3;2;80;0;1;4;3;1;1;1;0; R$ 14,21 
32;No;Travel_Rarely;548;Research & Development;1;3;Life Sciences;1;96;2;Male;66;3;2;Research Scientist;2;Married; R$ 6.220,00 ;7346;1;Y;No;17;3;2;80;2;10;3;3;10;4;0;9; R$ 35,34 
36;No;Travel_Rarely;132;Research & Development;6;3;Life Sciences;1;97;2;Female;55;4;1;Laboratory Technician;4;Married; R$ 3.038,00 ;22002;3;Y;No;12;3;2;80;0;5;3;3;1;0;0;0; R$ 17,26 
31;No;Travel_Rarely;746;Research & Development;8;4;Life Sciences;1;98;3;Female;61;3;2;Manufacturing Director;4;Single; R$ 4.424,00 ;20682;1;Y;No;23;4;4;80;0;11;2;3;11;7;1;8; R$ 25,14 
35;No;Travel_Rarely;776;Sales;1;4;Marketing;1;100;3;Male;32;2;2;Sales Executive;1;Single; R$ 4.312,00 ;23016;0;Y;No;14;3;2;80;0;16;2;3;15;13;2;8; R$ 24,50 
45;No;Travel_Rarely;193;Research & Development;6;4;Other;1;101;4;Male;52;3;3;Research Director;1;Married; R$ 13.245,00 ;15067;4;Y;Yes;14;3;2;80;0;17;3;4;0;0;0;0; R$ 75,26 
37;No;Travel_Rarely;397;Research & Development;7;4;Medical;1;102;1;Male;30;3;3;Research Director;3;Single; R$ 13.664,00 ;25258;4;Y;No;13;3;1;80;0;16;3;4;5;2;0;2; R$ 77,64 
46;No;Travel_Rarely;945;Human Resources;5;2;Medical;1;103;2;Male;80;3;2;Human Resources;2;Divorced; R$ 5.021,00 ;10425;8;Y;Yes;22;4;4;80;1;16;2;3;4;2;0;2; R$ 28,53 
30;No;Travel_Rarely;852;Research & Development;1;1;Life Sciences;1;104;4;Male;55;2;2;Laboratory Technician;4;Married; R$ 5.126,00 ;15998;1;Y;Yes;12;3;3;80;2;10;1;2;10;8;3;0; R$ 29,13 
35;No;Travel_Rarely;1214;Research & Development;1;3;Medical;1;105;2;Male;30;2;1;Research Scientist;3;Single; R$ 2.859,00 ;26278;1;Y;No;18;3;1;80;0;6;3;3;6;4;0;4; R$ 16,24 
55;No;Travel_Rarely;111;Sales;1;2;Life Sciences;1;106;1;Male;70;3;3;Sales Executive;4;Married; R$ 10.239,00 ;18092;3;Y;No;14;3;4;80;1;24;4;3;1;0;1;0; R$ 58,18 
38;No;Non-Travel;573;Research & Development;6;3;Medical;1;107;2;Female;79;1;2;Research Scientist;4;Divorced; R$ 5.329,00 ;15717;7;Y;Yes;12;3;4;80;3;17;3;3;13;11;1;9; R$ 30,28 
34;No;Travel_Rarely;1153;Research & Development;1;2;Medical;1;110;1;Male;94;3;2;Manufacturing Director;2;Married; R$ 4.325,00 ;17736;1;Y;No;15;3;3;80;0;5;2;3;5;2;1;3; R$ 24,57 
56;No;Travel_Rarely;1400;Research & Development;7;3;Life Sciences;1;112;4;Male;49;1;3;Manufacturing Director;4;Single; R$ 7.260,00 ;21698;4;Y;No;11;3;1;80;0;37;3;2;6;4;0;2; R$ 41,25 
23;No;Travel_Rarely;541;Sales;2;1;Technical Degree;1;113;3;Male;62;3;1;Sales Representative;1;Divorced; R$ 2.322,00 ;9518;3;Y;No;13;3;3;80;1;3;3;3;0;0;0;0; R$ 13,19 
51;No;Travel_Rarely;432;Research & Development;9;4;Life Sciences;1;116;4;Male;96;3;1;Laboratory Technician;4;Married; R$ 2.075,00 ;18725;3;Y;No;23;4;2;80;2;10;4;3;4;2;0;3; R$ 11,79 
30;No;Travel_Rarely;288;Research & Development;2;3;Life Sciences;1;117;3;Male;99;2;2;Healthcare Representative;4;Married; R$ 4.152,00 ;15830;1;Y;No;19;3;1;80;3;11;3;3;11;10;10;8; R$ 23,59 
46;Yes;Travel_Rarely;669;Sales;9;2;Medical;1;118;3;Male;64;2;3;Sales Executive;4;Single; R$ 9.619,00 ;13596;1;Y;No;16;3;4;80;0;9;3;3;9;8;4;7; R$ 54,65 
40;No;Travel_Frequently;530;Research & Development;1;4;Life Sciences;1;119;3;Male;78;2;4;Healthcare Representative;2;Married; R$ 13.503,00 ;14115;1;Y;No;22;4;4;80;1;22;3;2;22;3;11;11; R$ 76,72 
51;No;Travel_Rarely;632;Sales;21;4;Marketing;1;120;3;Male;71;3;2;Sales Executive;4;Single; R$ 5.441,00 ;8423;0;Y;Yes;22;4;4;80;0;11;2;1;10;7;1;0; R$ 30,91 
30;No;Travel_Rarely;1334;Sales;4;2;Medical;1;121;3;Female;63;2;2;Sales Executive;2;Divorced; R$ 5.209,00 ;19760;1;Y;Yes;12;3;2;80;3;11;4;2;11;8;2;7; R$ 29,60 
46;No;Travel_Frequently;638;Research & Development;1;3;Medical;1;124;3;Male;40;2;3;Healthcare Representative;1;Married; R$ 10.673,00 ;3142;2;Y;Yes;13;3;3;80;1;21;5;2;10;9;9;5; R$ 60,64 
32;No;Travel_Rarely;1093;Sales;6;4;Medical;1;125;2;Male;87;3;2;Sales Executive;3;Single; R$ 5.010,00 ;24301;1;Y;No;16;3;1;80;0;12;0;3;11;8;5;7; R$ 28,47 
54;No;Travel_Rarely;1217;Research & Development;2;4;Technical Degree;1;126;1;Female;60;3;3;Research Director;3;Married; R$ 13.549,00 ;24001;9;Y;No;12;3;1;80;1;16;5;1;4;3;0;3; R$ 76,98 
24;No;Travel_Rarely;1353;Sales;3;2;Other;1;128;1;Female;33;3;2;Sales Executive;3;Married; R$ 4.999,00 ;17519;0;Y;No;21;4;1;80;1;4;2;2;3;2;0;2; R$ 28,40 
28;No;Non-Travel;120;Sales;4;3;Medical;1;129;2;Male;43;3;2;Sales Executive;3;Married; R$ 4.221,00 ;8863;1;Y;No;15;3;2;80;0;5;3;4;5;4;0;4; R$ 23,98 
58;No;Travel_Rarely;682;Sales;10;4;Medical;1;131;4;Male;37;3;4;Sales Executive;3;Single; R$ 13.872,00 ;24409;0;Y;No;13;3;3;80;0;38;1;2;37;10;1;8; R$ 78,82 
44;No;Non-Travel;489;Research & Development;23;3;Medical;1;132;2;Male;67;3;2;Laboratory Technician;2;Married; R$ 2.042,00 ;25043;4;Y;No;12;3;3;80;1;17;3;4;3;2;1;2; R$ 11,60 
37;Yes;Travel_Rarely;807;Human Resources;6;4;Human Resources;1;133;3;Male;63;3;1;Human Resources;1;Divorced; R$ 2.073,00 ;23648;4;Y;Yes;22;4;4;80;0;7;3;3;3;2;0;2; R$ 11,78 
32;No;Travel_Rarely;827;Research & Development;1;1;Life Sciences;1;134;4;Male;71;3;1;Research Scientist;1;Single; R$ 2.956,00 ;15178;1;Y;No;13;3;4;80;0;1;2;3;1;0;0;0; R$ 16,80 
20;Yes;Travel_Frequently;871;Research & Development;6;3;Life Sciences;1;137;4;Female;66;2;1;Laboratory Technician;4;Single; R$ 2.926,00 ;19783;1;Y;Yes;18;3;2;80;0;1;5;3;1;0;1;0; R$ 16,63 
34;No;Travel_Rarely;665;Research & Development;6;4;Other;1;138;1;Female;41;3;2;Research Scientist;3;Single; R$ 4.809,00 ;12482;1;Y;No;14;3;3;80;0;16;3;3;16;13;2;10; R$ 27,32 
37;No;Non-Travel;1040;Research & Development;2;2;Life Sciences;1;139;3;Male;100;2;2;Healthcare Representative;4;Divorced; R$ 5.163,00 ;15850;5;Y;No;14;3;4;80;1;17;2;4;1;0;0;0; R$ 29,34 
59;No;Non-Travel;1420;Human Resources;2;4;Human Resources;1;140;3;Female;32;2;5;Manager;4;Married; R$ 18.844,00 ;21922;9;Y;No;21;4;4;80;1;30;3;3;3;2;2;2; R$ 107,07 
50;No;Travel_Frequently;1115;Research & Development;1;3;Life Sciences;1;141;1;Female;73;3;5;Research Director;2;Married; R$ 18.172,00 ;9755;3;Y;Yes;19;3;1;80;0;28;1;2;8;3;0;7; R$ 103,25 
25;Yes;Travel_Rarely;240;Sales;5;3;Marketing;1;142;3;Male;46;2;2;Sales Executive;3;Single; R$ 5.744,00 ;26959;1;Y;Yes;11;3;4;80;0;6;1;3;6;4;0;3; R$ 32,64 
25;No;Travel_Rarely;1280;Research & Development;7;1;Medical;1;143;4;Male;64;2;1;Research Scientist;4;Married; R$ 2.889,00 ;26897;1;Y;No;11;3;3;80;2;2;2;3;2;2;2;1; R$ 16,41 
22;No;Travel_Rarely;534;Research & Development;15;3;Medical;1;144;2;Female;59;3;1;Laboratory Technician;4;Single; R$ 2.871,00 ;23785;1;Y;No;15;3;3;80;0;1;5;3;0;0;0;0; R$ 16,31 
51;No;Travel_Frequently;1456;Research & Development;1;4;Medical;1;145;1;Female;30;2;3;Healthcare Representative;1;Single; R$ 7.484,00 ;25796;3;Y;No;20;4;3;80;0;23;1;2;13;12;12;8; R$ 42,52 
34;Yes;Travel_Frequently;658;Research & Development;7;3;Life Sciences;1;147;1;Male;66;1;2;Laboratory Technician;3;Single; R$ 6.074,00 ;22887;1;Y;Yes;24;4;4;80;0;9;3;3;9;7;0;6; R$ 34,51 
54;No;Non-Travel;142;Human Resources;26;3;Human Resources;1;148;4;Female;30;4;4;Manager;4;Single; R$ 17.328,00 ;13871;2;Y;Yes;12;3;3;80;0;23;3;3;5;3;4;4; R$ 98,45 
24;No;Travel_Rarely;1127;Research & Development;18;1;Life Sciences;1;150;2;Male;52;3;1;Laboratory Technician;3;Married; R$ 2.774,00 ;13257;0;Y;No;12;3;3;80;1;6;2;3;5;3;1;2; R$ 15,76 
34;No;Travel_Rarely;1031;Research & Development;6;4;Life Sciences;1;151;3;Female;45;2;2;Research Scientist;2;Divorced; R$ 4.505,00 ;15000;6;Y;No;15;3;3;80;1;12;3;3;1;0;0;0; R$ 25,60 
37;No;Travel_Rarely;1189;Sales;3;3;Life Sciences;1;152;3;Male;87;3;3;Sales Executive;4;Single; R$ 7.428,00 ;14506;2;Y;No;12;3;1;80;0;12;3;3;5;3;1;3; R$ 42,20 
34;No;Travel_Rarely;1354;Research & Development;5;3;Medical;1;153;3;Female;45;2;3;Manager;1;Single; R$ 11.631,00 ;5615;2;Y;No;12;3;4;80;0;14;6;3;11;10;5;8; R$ 66,09 
